Applicant.ID,Job.ID,Title,Position,Company,City,State.Name,State.Code,Industry,View.Start,View.End,View.Duration,Created.At,Updated.At
11835,98879,"Toys R Us Seasonal Sales Team Member @ Toys ""R"" Us, Inc",Toys R Us Seasonal Sales Team Member,"Toys ""R"" Us, Inc",Matteson,Illinois,IL,NA,2015-01-09 23:04:23 UTC,2015-01-09 23:04:48 UTC,25,2015-01-09 23:04:23 UTC,2015-01-09 23:04:23 UTC
11836,85262,Customer Care Rep II @ First Midwest Bank,Customer Care Rep II,First Midwest Bank,Joliet,Illinois,IL,NA,2015-01-09 23:09:05 UTC,2015-01-09 23:09:09 UTC,4,2015-01-09 23:09:05 UTC,2015-01-09 23:09:05 UTC
11836,85262,Customer Care Rep II @ First Midwest Bank,Customer Care Rep II,First Midwest Bank,Joliet,Illinois,IL,NA,2015-01-09 23:09:13 UTC,,NA,2015-01-09 23:09:13 UTC,2015-01-09 23:09:13 UTC
11836,164077,Receptionist @ OfficeTeam,Receptionist,OfficeTeam,Crest Hill,Illinois,IL,NA,2015-01-09 23:10:23 UTC,2015-01-09 23:10:31 UTC,8,2015-01-09 23:10:23 UTC,2015-01-09 23:10:23 UTC
11836,164077,Receptionist @ OfficeTeam,Receptionist,OfficeTeam,Crest Hill,Illinois,IL,NA,2015-01-09 23:26:16 UTC,2015-01-09 23:26:40 UTC,23,2015-01-09 23:26:16 UTC,2015-01-09 23:26:16 UTC
11836,164077,Receptionist @ OfficeTeam,Receptionist,OfficeTeam,Crest Hill,Illinois,IL,NA,2015-01-09 23:26:44 UTC,2015-01-09 23:26:44 UTC,0,2015-01-09 23:26:44 UTC,2015-01-09 23:26:44 UTC
11836,164077,Receptionist @ OfficeTeam,Receptionist,OfficeTeam,Crest Hill,Illinois,IL,NA,2015-01-09 23:26:44 UTC,,NA,2015-01-09 23:26:44 UTC,2015-01-09 23:26:44 UTC
11836,85262,Customer Care Rep II @ First Midwest Bank,Customer Care Rep II,First Midwest Bank,Joliet,Illinois,IL,NA,2015-01-09 23:07:24 UTC,2015-01-09 23:08:01 UTC,36,2015-01-09 23:07:24 UTC,2015-01-09 23:07:24 UTC
11836,85262,Customer Care Rep II @ First Midwest Bank,Customer Care Rep II,First Midwest Bank,Joliet,Illinois,IL,NA,2015-01-09 23:08:18 UTC,2015-01-09 23:08:23 UTC,4,2015-01-09 23:08:18 UTC,2015-01-09 23:08:18 UTC
11837,164118,Administrative Assistant needed in Salem. @ OfficeTeam,Administrative Assistant needed in Salem.,OfficeTeam,Salem,Massachusetts,MA,NA,2015-01-09 23:39:01 UTC,NA,NA,2015-01-09 23:39:01 UTC,2015-01-09 23:39:01 UTC
11839,66629,"Macy's Seasonal Retail Sales Part Time - Columbus, OH -  Eastland @ Macy's","Macy's Seasonal Retail Sales Part Time - Columbus, OH -  Eastland",Macy's,Columbus,Ohio,OH,NA,2015-01-10 00:08:06 UTC,2015-01-10 00:10:26 UTC,139,2015-01-10 00:08:06 UTC,2015-01-10 00:08:06 UTC
